activity_id,week,location_id,co_share_group
A001,21,PLAT:BET:S15:EB,g1_S16:EB
A001,21,PLAT:BET:S16:EB,g1_S16:EB
A001,21,PLAT:BET:S17:EB,g1_S16:EB
A001,21,SEC:BET:S15_S16:EB,g1_S16:EB
A001,21,SEC:BET:S16_S17:EB,g1_S16:EB
A002,1,PLAT:BET:S11:WB,g1_S12:WB
A002,1,PLAT:BET:S12:WB,g1_S12:WB
A002,1,PLAT:BET:S13:WB,g1_S12:WB
A002,1,SEC:BET:S11_S12:WB,g1_S12:WB
A002,1,SEC:BET:S12_S13:WB,g1_S12:WB
A003,12,PLAT:BET:H01:EB,g1_H02:EB
A003,12,PLAT:BET:H02:EB,g1_H02:EB
A003,12,PLAT:BET:S15:EB,g1_H02:EB
A003,12,PLAT:BET:S16:EB,g1_H02:EB
A003,12,SEC:BET:H01_H02:EB,g1_H02:EB
A003,12,SEC:BET:H02_S15:EB,g1_H02:EB
A003,12,SEC:BET:S15_S16:EB,g1_H02:EB
A003,18,PLAT:BET:H01:EB,g1_H02:EB
A003,18,PLAT:BET:H02:EB,g1_H02:EB
A003,18,PLAT:BET:S15:EB,g1_H02:EB
A003,18,PLAT:BET:S16:EB,g1_H02:EB
A003,18,SEC:BET:H01_H02:EB,g1_H02:EB
A003,18,SEC:BET:H02_S15:EB,g1_H02:EB
A003,18,SEC:BET:S15_S16:EB,g1_H02:EB
A003,19,PLAT:BET:H01:EB,g1_H02:EB
A003,19,PLAT:BET:H02:EB,g1_H02:EB
A003,19,PLAT:BET:S15:EB,g1_H02:EB
A003,19,PLAT:BET:S16:EB,g1_H02:EB
A003,19,SEC:BET:H01_H02:EB,g1_H02:EB
A003,19,SEC:BET:H02_S15:EB,g1_H02:EB
A003,19,SEC:BET:S15_S16:EB,g1_H02:EB
A004,20,PLAT:ALP:H01:EB,g1_S04:EB
A004,20,PLAT:ALP:S03:EB,g1_S04:EB
A004,20,PLAT:ALP:S04:EB,g1_S04:EB
A004,20,SEC:ALP:S03_S04:EB,g1_S04:EB
